Career Cluster,Career Pathway,Occupation Title,Artistic,Conventional,Enterprising,Investigative,Realistic,Social,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Less than a High School Diploma,High School Diploma,Post-Secondary Certificate - Award,Some College Courses,Associate's Degree (or other 2-year degree),Bachelor's Degree,Post-Baccalaureate Certificate - Award,Master's Degree,Post-Master's Certificate - Award,First Professional Degree - Award,Doctoral Degree,Post-Doctoral Training
Manufacturing,Production,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",1,4.61,1,2.15,7,1.04,0.084672619,0.127452381,0.09260119,0.024428571,-0.099452381,1.13,81.65,7.64,5.64,3.94,0,0,0,0,0,0,0
Education & Training,Professional Support Services,Museum Technicians and Conservators,3.14,4.58,1.51,3.21,5.67,2.64,0.144255422,0.113214458,0.119151807,0.034587952,-0.09093494,0,1.29,20.32,0,7.18,24.11,0,41.3,5.79,0,0,0
"Arts, Audio/Video Technology & Communications",Performing Arts,Music Directors and Composers,7,2.59,4.77,2.28,2.04,3.06,0.224811408,0.09626035,0.185441582,0.022263109,-0.083923643,5.11,3.8,0,6.2,7.89,24.02,2.21,28.21,1.93,0,20.62,0
Health Science,Therapeutic Services,Music Therapists,5.16,2.88,2.56,3.86,2.16,5.52,0.211960253,0.101237579,0.169873532,0.05171635,-0.087425474,0,0,0,0,0,73.08,11.54,15.38,0,0,0,0
Manufacturing,"Maintenance, Installation & Repair",Musical Instrument Repairers and Tuners,3.55,3.38,1,2.59,6.42,1.66,0.160021505,0.096010753,0.103225806,0.028182796,-0.08372043,7.14,35.71,42.86,0,10.71,3.57,0,0,0,0,0,0
"Arts, Audio/Video Technology & Communications",Performing Arts,Musicians and Singers,6.66,2.17,3.41,1.53,2.87,3.4,0.227994012,0.086841317,0.175598802,0.030618762,-0.078827345,19.24,12.14,0.32,8.56,0,29.07,0.85,17.15,0,0,9.33,3.33
Human Services,Early Childhood Development & Services,Nannies,3.8,3.29,2.8,2.05,2.97,6.1,0.175378391,0.115844836,0.185649691,0.056682532,-0.096097097,4,60,8,16,8,4,0,0,0,0,0,0
"Science, Technology, Engineering & Mathematics",Engineering and Technology,Nanosystems Engineers,2.43,4.08,2.52,6.09,5.38,1.36,0.152717292,0.116852699,0.111912168,0.021280878,-0.098279963,0,0,0,0,0,14.29,9.52,9.52,0,0,57.14,9.52
"Agriculture, Food & Natural Resources",Natural Resources Systems,Natural Sciences Managers,2.51,4.19,5.63,5.73,3.04,2.97,0.152160366,0.136069796,0.171740756,0.021740756,-0.111005401,0,0,0,0,7.29,35.07,2.24,15.07,0,0,13.62,26.7
Health Science,Therapeutic Services,Naturopathic Physicians,1.92,3.58,1.99,5.93,4.14,5.78,0.162669237,0.120467009,0.147763496,0.055904027,-0.102754927,0,0,0,0,0,0,0,0,0,0,96,4
Information Technology,Network Systems,Network and Computer Systems Administrators,1,6.18,3.47,4.05,4.2,2.22,0.094900568,0.151775568,0.142272727,0.025464015,-0.111207386,0,0,7.49,9.72,20.3,52.37,0,10.13,0,0,0,0
Health Science,Diagnostic Services,Neurodiagnostic Technologists,1.47,4.54,1.32,5.7,5.28,3.58,0.138126999,0.123339424,0.116861581,0.043969849,-0.100639561,0,0,35.48,0,48.39,16.13,0,0,0,0,0,0
Health Science,Therapeutic Services,Neurologists,2.09,3.63,2.42,7,3.91,5.32,0.168457119,0.120258515,0.144772261,0.050073861,-0.1030119,0,2.4,0,0,0,0,0,4.77,0,0,29.18,63.66
Human Services,Counseling & Mental Health Services,Neuropsychologists,3.26,3.24,1.8,7,2.67,5.28,0.195578495,0.10951828,0.142339785,0.053492473,-0.094683871,0,0,0,0,0,0,0,0,0,0,16,84
Business Management & Administration,Administrative Support,New Accounts Clerks,1,7,4.66,1.76,1.54,3.55,0.072778063,0.176981035,0.194541261,0.032624295,-0.118985136,0,45.6,15.45,28.22,10.73,0,0,0,0,0,0,0
Manufacturing,Manufacturing Production Process Development,Non-Destructive Testing Specialists,1.25,4.83,1,5.05,6.16,1.47,0.118663968,0.123572874,0.090460526,0.029342105,-0.098451417,0,68.18,4.55,9.09,9.09,4.55,4.55,0,0,0,0,0
"Science, Technology, Engineering & Mathematics",Engineering and Technology,Nuclear Engineers,2.07,4.42,2.58,6.31,5,1.97,0.146787472,0.122733781,0.118080537,0.026232662,-0.101038031,0,0,0,0,0,80.95,0,19.05,0,0,0,0
Health Science,Diagnostic Services,Nuclear Medicine Technologists,1,5.2,1.31,5.57,5.99,3.08,0.119634312,0.129083521,0.109462754,0.040022573,-0.10268623,0,0,4.24,1.81,62.63,21.5,5.76,0,0,4.07,0,0
Manufacturing,Manufacturing Production Process Development,Nuclear Monitoring Technicians,1,5.52,1.67,4.32,6.12,1.85,0.101259766,0.134526367,0.106650391,0.029345703,-0.103286133,0,27.15,16.59,11.06,29.35,15.86,0,0,0,0,0,0
Manufacturing,Production,Nuclear Power Reactor Operators,1,5.15,2.7,3.25,5.24,2.17,0.097283444,0.142127114,0.133716043,0.027560226,-0.10852896,0,50.09,15.73,6.22,12.63,15.32,0,0,0,0,0,0
Health Science,Therapeutic Services,Nurse Anesthetists,1,4.25,1.92,4.94,5,5.18,0.132467474,0.130233288,0.14316734,0.053185285,-0.107016599,0,0,0,0,0,0,0,40.74,0,3.7,55.56,0
Health Science,Therapeutic Services,Nurse Midwives,1.91,3.41,2.92,4.33,3.42,5.85,0.155769231,0.127701465,0.172174908,0.054606227,-0.106895604,0,0,0,0,0,0,3.12,81.25,15.62,0,0,0
Health Science,Therapeutic Services,Nurse Practitioners,1.31,4.28,2.13,5.52,3.67,5.36,0.144018859,0.131279749,0.149699147,0.054472384,-0.10636282,0,0,0,0,0,4.35,0,65.22,0,0,26.09,4.35
Health Science,Therapeutic Services,Nursing Assistants,1,4.22,1.76,2.73,4.6,5.72,0.119490764,0.134972541,0.160174738,0.06131303,-0.107628557,2.67,38.69,23.98,12.2,9.82,6.1,0,2.76,0,3.79,0,0
Education & Training,Teaching/Training,"Nursing Instructors and Teachers, Postsecondary",3.29,3.35,2.15,4.84,3.01,7,0.183172589,0.114310491,0.166962775,0.062952623,-0.097406937,0,0,0,0,0,5.05,0,50.08,2.03,0,36.11,6.73
Health Science,Therapeutic Services,Obstetricians and Gynecologists,1.34,4.14,2.61,5.41,4.57,5.4,0.141844908,0.129995739,0.152015339,0.050656157,-0.107758841,0,0,0,0,0,0,0,0,0,3.45,22.54,74.01
Government & Public Administration,Regulation,Occupational Health and Safety Specialists,1.2,4.81,3.11,4.99,4.62,3.37,0.123705882,0.137434389,0.143488688,0.035058824,-0.109199095,0,0,4.35,0,4.35,73.91,8.7,8.7,0,0,0,0
Government & Public Administration,Regulation,Occupational Health and Safety Technicians,1,5.29,2.74,4.92,5.37,3.01,0.113022839,0.138168383,0.132203314,0.033591581,-0.108365428,0,9.52,4.76,9.52,19.05,47.62,4.76,4.76,0,0,0,0
Health Science,Therapeutic Services,Occupational Therapists,3.05,3.06,1.81,4.34,3.48,6.13,0.180548697,0.111650663,0.159675354,0.060598994,-0.096319159,0,0,0,0,0,13.64,0,86.36,0,0,0,0
Health Science,Therapeutic Services,Occupational Therapy Aides,1.69,3.72,1.82,2.55,3.91,6,0.138781107,0.128445912,0.168745556,0.063824276,-0.104113763,0,36.76,8.72,24.32,28.4,0,0,0,0,1.8,0,0
Health Science,Therapeutic Services,Occupational Therapy Assistants,2.14,3.83,1.11,3.47,3.65,6.27,0.154406448,0.121035662,0.155872008,0.067928676,-0.098461163,0,0,0,5.07,91.74,2.74,0.45,0,0,0,0,0
Business Management & Administration,Administrative Support,"Office Clerks, General",1,6.83,3.19,1.85,2.92,3.07,0.071617179,0.165922587,0.163748674,0.034973489,-0.112115589,1.5,40.59,6.52,14.74,36.41,0.24,0,0,0,0,0,0
Business Management & Administration,Administrative Support,"Office Machine Operators, Except Computer",1.21,6.71,1.97,2.06,4.53,1.64,0.07013245,0.152654525,0.123013245,0.027273731,-0.103581678,0,67.73,9.03,0,5.81,17.43,0,0,0,0,0,0
Business Management & Administration,Operations Management,Online Merchants,1.58,6.25,5.86,1.5,2.34,2.37,0.08320603,0.169829146,0.198477387,0.015668342,-0.119356784,0,32.67,12.12,8.71,5.22,41.29,0,0,0,0,0,0
Architecture & Construction,Construction,Operating Engineers and Other Construction Equipment Operators,1,3.88,1.25,2.93,7,1.14,0.102482558,0.121912791,0.096174419,0.024034884,-0.100889535,1.39,81.72,0.55,16.34,0,0,0,0,0,0,0,0
Business Management & Administration,Operations Management,Operations Research Analysts,2.14,5.77,3.12,6.26,1.92,2.04,0.139637647,0.140465882,0.135209412,0.026856471,-0.103049412,0,0,0,0,0,33.33,9.52,42.86,0,0,14.29,0
Manufacturing,Production,Ophthalmic Laboratory Technicians,1.63,4.15,1.24,2.91,6.45,1.88,0.116401972,0.119748083,0.106670318,0.030832421,-0.097458927,4.83,56.4,8.82,14.58,6.54,3.73,0,3.66,0,1.43,0,0
Health Science,Therapeutic Services,Ophthalmic Medical Technicians,1,4.81,1.64,4.76,5.37,4.47,0.122911565,0.131460317,0.131995465,0.049219955,-0.105306122,0,59.09,27.27,4.55,9.09,0,0,0,0,0,0,0
Health Science,Diagnostic Services,Ophthalmic Medical Technologists,1.19,4.68,2.01,4.72,5.43,4.3,0.125853112,0.130613524,0.135297806,0.045879982,-0.105557546,0,30,25,10,10,15,10,0,0,0,0,0
Health Science,Therapeutic Services,"Ophthalmologists, Except Pediatric",1.62,3.72,2.86,6.33,4.78,5.28,0.153875559,0.124802765,0.149097194,0.047519317,-0.106856446,0,0,9.91,0,0,0,13.96,0,0,13.96,20.03,42.13
Health Science,Therapeutic Services,"Opticians, Dispensing",1.44,5.48,3.27,2.23,4.31,3.03,0.097550607,0.147454453,0.157697368,0.032165992,-0.109215587,0,45.83,25,4.17,25,0,0,0,0,0,0,0
Health Science,Therapeutic Services,Optometrists,1.6,3.92,2.27,5.78,4.8,5.02,0.149521163,0.124335186,0.142877298,0.049162035,-0.104818298,0,0,0,0,0,0,0,0,0,4.76,95.24,0
Health Science,Therapeutic Services,Oral and Maxillofacial Surgeons,1.22,3.63,2.2,5.91,5.6,4.47,0.144871906,0.123122015,0.135197568,0.045579679,-0.106122449,0,0,0,0,0,0,0,0,0,7.96,19.84,72.2
Business Management & Administration,Administrative Support,Order Clerks,1,7,4.53,1,2.51,2.51,0.057973046,0.177283019,0.185218329,0.023444744,-0.118215633,0,63.04,24.17,0.72,0,12.07,0,0,0,0,0,0
Health Science,Support Services,Orderlies,1,4.43,1.22,2.21,5.49,4.34,0.106211878,0.132332798,0.138892456,0.053681113,-0.104098448,6.55,89.32,4.13,0,0,0,0,0,0,0,0,0
Health Science,Therapeutic Services,Orthodontists,1.67,4.75,1.28,5.84,5.8,3.94,0.139265464,0.121537801,0.116713918,0.04516323,-0.099725086,0,1.51,7.73,0,0,2.66,0,0,0,7.08,12.09,68.94
Health Science,Therapeutic Services,Orthoptists,2.06,3.81,1.64,5.57,4.68,4.65,0.157733155,0.117969656,0.133850959,0.049866131,-0.099705489,0,0,0,0,3.57,7.14,78.57,3.57,0,7.14,0,0
Health Science,Therapeutic Services,Orthotists and Prosthetists,2.15,3.6,1.59,5.1,5.77,4.43,0.155053004,0.114006184,0.129571555,0.047287986,-0.098838339,0,0,0,0,0,5,5,90,0,0,0,0
Manufacturing,"Maintenance, Installation & Repair",Outdoor Power Equipment and Other Small Engine Mechanics,1,4.18,1.24,2.68,7,1.08,0.09589057,0.124528522,0.095925495,0.023527357,-0.100768335,12.22,48.05,12.46,27.27,0,0,0,0,0,0,0,0
Manufacturing,Production,Packaging and Filling Machine Operators and Tenders,1,4.97,1.85,1.24,6.56,1.01,0.069975947,0.138400481,0.112976548,0.019500902,-0.104010824,17.27,79.69,0.82,0,2.22,0,0,0,0,0,0,0
"Transportation, Distribution & Logistics",Transportation Operations,"Packers and Packagers, Hand",1.32,5.66,2.46,1.44,5.52,1.39,0.07539629,0.145413153,0.129370433,0.020983699,-0.105103991,32.52,53.78,0,13.7,0,0,0,0,0,0,0,0
Architecture & Construction,Construction,"Painters, Construction and Maintenance",2.74,3.35,1,1.54,7,1.26,0.134239195,0.101415038,0.100426288,0.024481942,-0.087353464,30.11,52.29,7.64,0,0,4.25,0,0,0,0,5.72,0
Manufacturing,Production,"Painting, Coating, and Decorating Workers",3.42,3.41,1,1.35,6.93,1.56,0.14631013,0.096825127,0.105280136,0.026751556,-0.083633277,59.01,21.21,2.77,17.01,0,0,0,0,0,0,0,0
Manufacturing,Production,"Paper Goods Machine Setters, Operators, and Tenders",1.26,4.54,1.45,1.72,6.53,1,0.086660606,0.129266667,0.104187879,0.021466667,-0.099957576,20.15,69.35,0.51,9.39,0.61,0,0,0,0,0,0,0
Architecture & Construction,Construction,Paperhangers,2.99,3.87,1.12,1,5.91,1.55,0.131240876,0.107639903,0.112201946,0.027445255,-0.086192214,24.07,54.08,3.36,18.49,0,0,0,0,0,0,0,0
"Law, Public Safety, Corrections & Security",Legal Services,Paralegals and Legal Assistants,2.04,5.49,4.21,4.56,1.71,3.28,0.131094411,0.148107093,0.169643025,0.031352748,-0.109379991,0,18.62,2.43,2.34,20.08,36.94,9.56,0,0,0,10.03,0
"Science, Technology, Engineering & Mathematics",Science and Mathematics,Park Naturalists,4.1,3.06,3.38,4.51,4.23,4.85,0.184761707,0.109245752,0.161193535,0.04124741,-0.096237049,0,10.9,1.35,2.11,25.66,49.75,0,10.24,0,0,0,0
"Transportation, Distribution & Logistics",Sales and Service,Parking Attendants,1.12,4.96,3.18,1,5.79,3.03,0.083705451,0.145324948,0.158527254,0.031498952,-0.111132075,38.29,60.75,0,0,0,0.96,0,0,0,0,0,0
"Law, Public Safety, Corrections & Security",Law Enforcement Services,Parking Enforcement Workers,1,5.47,3.14,1.42,6.35,2.58,0.077990982,0.146092184,0.146863727,0.02758517,-0.110731463,4.33,90.61,1.57,1.78,0.27,1.43,0,0,0,0,0,0
Marketing,Professional Sales,Parts Salespersons,1,5.46,4,1.35,5.31,2.11,0.075044202,0.154056162,0.160884035,0.020192408,-0.114674987,0,46.85,4.98,25.22,9.33,13.61,0,0,0,0,0,0
"Transportation, Distribution & Logistics",Transportation Operations,Passenger Attendants,1,4.3,3.07,1.07,4.04,4.27,0.09675493,0.148428169,0.181977465,0.045515493,-0.113616901,15.77,82.22,2.02,0,0,0,0,0,0,0,0,0
Business Management & Administration,Administrative Support,Patient Representatives,1.58,3.72,3.07,4.05,1.29,6.74,0.153706601,0.139726161,0.195237164,0.064914425,-0.110831296,0,26.65,12.18,11.77,10.92,15.27,0,23.2,0,0,0,0
Manufacturing,Production,"Patternmakers, Metal and Plastic",3.05,4.65,1,1.8,6.23,1,0.126051889,0.110439932,0.097614213,0.022915962,-0.085561196,8.68,33.48,15,40.25,2.47,0.11,0,0,0,0,0,0
Manufacturing,Production,"Patternmakers, Wood",3.87,4,1.24,2.09,6.69,1.24,0.1508207,0.09915839,0.102916884,0.022848928,-0.082854156,0.7,57.25,26.45,15.6,0,0,0,0,0,0,0,0
Architecture & Construction,Construction,"Paving, Surfacing, and Tamping Equipment Operators",1,3.71,1,1.72,7,1,0.090311082,0.121341542,0.094517174,0.023519119,-0.099351912,40.99,38.42,20.59,0,0,0,0,0,0,0,0,0
Business Management & Administration,Administrative Support,Payroll and Timekeeping Clerks,1,7,3.4,1,1.58,2.05,0.050648784,0.181852776,0.174217093,0.026032439,-0.114160948,0,20.55,0,30.35,17.26,31.84,0,0,0,0,0,0
Health Science,Therapeutic Services,"Pediatricians, General",1.77,3.53,2.49,6.2,3.76,6.63,0.163326497,0.124073011,0.159544709,0.05876128,-0.105918786,0,0,0,0,0,0,0,0,0,1.27,20.43,78.3
Human Services,Personal Care Services,Personal Care Aides,1.8,3.82,2.56,1.82,3.62,6.21,0.13380232,0.133772063,0.185461422,0.061729702,-0.10698941,17.53,47.76,6.24,5.99,22.48,0,0,0,0,0,0,0
Finance,Securities & Investments,Personal Financial Advisors,1.74,5.58,5.88,3.17,1,4.2,0.116652758,0.162396847,0.20796013,0.031353732,-0.118748261,0,0,7.69,0,0,57.69,23.08,11.54,0,0,0,0
"Agriculture, Food & Natural Resources",Environmental Service Systems,Pest Control Workers,1,4.18,2.33,3.1,6.54,1.8,0.103593668,0.13078628,0.122021108,0.024944591,-0.106633245,0,90.24,8.79,0.59,0.38,0,0,0,0,0,0,0
"Agriculture, Food & Natural Resources",Plant Systems,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",1.06,3.58,1.52,2.84,6.37,1.93,0.11117341,0.123052023,0.113554913,0.030473988,-0.102786127,14.99,56.25,15.68,0,0.26,12.82,0,0,0,0,0,0
"Science, Technology, Engineering & Mathematics",Engineering and Technology,Petroleum Engineers,1.91,4.41,2.9,5.25,5.45,1.8,0.135391344,0.125828729,0.123637201,0.023130755,-0.103121547,0,7.55,0,0,0,71.61,0,5.41,15.43,0,0,0
Manufacturing,Production,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",1,5.06,2.22,2.48,6.17,1.3,0.085474493,0.138645091,0.117893582,0.02136588,-0.10580362,0,97.02,1.69,1.29,0,0,0,0,0,0,0,0
Health Science,Therapeutic Services,Pharmacists,1.48,4.68,2.53,5.65,2.88,4.81,0.142968679,0.135633227,0.152078983,0.049491602,-0.106640944,0,1.75,0,0,0,11.47,0,0,0,3.36,78.36,5.06
Health Science,Support Services,Pharmacy Aides,1,6.83,3.87,1.51,3.63,3.15,0.069469735,0.165502751,0.170590295,0.03122061,-0.114572286,15.04,61.19,18.21,5.56,0,0,0,0,0,0,0,0
Health Science,Therapeutic Services,Pharmacy Technicians,1,7,2.55,3.13,4.06,3.36,0.084317536,0.154677725,0.142815166,0.038597156,-0.108374408,0,35.73,41.97,14.63,3.83,3.84,0,0,0,0,0,0
Education & Training,Teaching/Training,"Philosophy and Religion Teachers, Postsecondary",3.77,3.29,2.82,5.14,2.44,7,0.190756337,0.114382666,0.173994276,0.059182339,-0.097604252,0,0,0,0,0,0,0,13.07,0.6,0,73.83,12.49
Health Science,Support Services,Phlebotomists,1,5.43,1.44,4.54,5.55,3.69,0.11217552,0.134,0.121796767,0.044568129,-0.103852194,0,31.82,45.45,13.64,4.55,0,4.55,0,0,0,0,0
"Arts, Audio/Video Technology & Communications",Journalism and Broadcasting,Photographers,5.18,3.43,2.3,2.29,5.49,1.85,0.182473223,0.094225901,0.128967868,0.022823759,-0.081616358,9.09,18.18,13.64,27.27,13.64,13.64,4.55,0,0,0,0,0
Manufacturing,Production,Photographic Process Workers and Processing Machine Operators,3.15,5.23,1.3,2.01,5.37,1.15,0.124360242,0.117644152,0.105958265,0.023607908,-0.086930258,0.28,84.07,2.06,7.66,0.74,5.2,0,0,0,0,0,0
"Science, Technology, Engineering & Mathematics",Engineering and Technology,Photonics Engineers,2.73,4.12,1.72,5.91,5.82,1.4,0.156608295,0.110285714,0.100423963,0.024516129,-0.093327189,0,0,0,0,4.76,52.38,0,38.1,0,0,4.76,0
Manufacturing,Manufacturing Production Process Development,Photonics Technicians,1.06,5.12,1,4.26,7,1,0.101769547,0.126049383,0.085082305,0.024794239,-0.099115226,0,27.27,9.09,4.55,40.91,13.64,0,4.55,0,0,0,0
Health Science,Therapeutic Services,Physical Medicine and Rehabilitation Physicians,2.02,2.98,1.71,6.36,4.55,5.97,0.172734209,0.113912675,0.143501484,0.057672743,-0.101309877,0,0,0,0,0,0.81,0,0,0,1.25,54.89,43.05
Health Science,Therapeutic Services,Physical Therapist Aides,1.09,3.88,2.04,2.55,4.87,5.85,0.123032544,0.132899408,0.165261341,0.060216963,-0.108372781,10.09,34.41,2.09,9.61,25.1,8.62,0,0,0,0,10.09,0
Health Science,Therapeutic Services,Physical Therapist Assistants,1.53,3.78,1.35,3.65,4.46,6.41,0.143380548,0.124622285,0.155769594,0.066392823,-0.103120869,0,0,0,0,84.16,14.88,0,0,0,0.97,0,0
Health Science,Therapeutic Services,Physical Therapists,2.17,3.08,2.49,4.87,4.34,5.91,0.164505687,0.118972003,0.160008749,0.054776903,-0.103582677,0,0,0,0,6.26,8.31,0,38.3,0,0,47.13,0
Health Science,Therapeutic Services,Physician Assistants,1.23,4.56,2.07,4.98,3.79,5.81,0.137103387,0.13381016,0.153783422,0.057727273,-0.106902852,0,0,0,0,0,5.41,0,81.08,0,13.51,0,0
Health Science,Therapeutic Services,"Physicians, Pathologists",1.2,4.57,1.4,7,5.36,3.46,0.141170074,0.123771205,0.111726838,0.042283602,-0.102227055,0,0,0,0,0,0,0,6,0,2.74,29.22,62.04
"Science, Technology, Engineering & Mathematics",Science and Mathematics,Physicists,2.76,4.86,1.82,7,4.95,2.11,0.157910638,0.116093617,0.106412766,0.030059574,-0.09467234,0,0,0,0,0,3.77,0,0,8.14,0,49.04,39.06
Education & Training,Teaching/Training,"Physics Teachers, Postsecondary",3.21,3.92,2.36,5.87,3.75,6.01,0.175457803,0.115875796,0.152209395,0.053343949,-0.097906051,0,0,0,0,0,0,0,25.03,0.41,0,53.82,20.74
Architecture & Construction,Construction,Pile Driver Operators,1,3.61,1.15,1.94,7,1.02,0.094363868,0.121036896,0.096991094,0.022888041,-0.100248092,18.59,52.59,20.95,7.88,0,0,0,0,0,0,0,0
Architecture & Construction,Construction,Pipelayers,1,3.53,1.07,2.41,7,1.28,0.102271332,0.119165132,0.097004297,0.026181707,-0.100116636,24.47,71.23,0,0,0,0,0,0,0,4.3,0,0
Architecture & Construction,Construction,Plasterers and Stucco Masons,2.43,3.36,1.11,1.48,7,1.33,0.127097546,0.105254339,0.103405147,0.024805506,-0.090119689,67.95,27.89,2.8,0,1.36,0,0,0,0,0,0,0
Manufacturing,Production,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",1.41,4.1,1,2.23,7,1,0.100967742,0.119187575,0.092592593,0.02353644,-0.09646356,49.2,46.75,0,0.62,0,3.43,0,0,0,0,0,0
Architecture & Construction,Construction,"Plumbers, Pipefitters, and Steamfitters",1,3.86,1,2.23,7,1.27,0.096033007,0.121687042,0.095929095,0.026528117,-0.099718826,7.94,34.84,43.26,4.63,9.34,0,0,0,0,0,0,0
Health Science,Therapeutic Services,Podiatrists,1.77,3.17,2.17,5.69,5.22,5.06,0.158942808,0.117707972,0.142378683,0.049618718,-0.103643847,0,0.66,0,0,0,0,0,0,0,14.09,52.89,32.36
"Arts, Audio/Video Technology & Communications",Journalism and Broadcasting,"Poets, Lyricists and Creative Writers",7,2.84,3.09,3.83,1.37,2.75,0.240909962,0.088022031,0.157389847,0.028256705,-0.07572318,13.64,9.09,0,27.27,0,31.82,0,9.09,0,9.09,0,0
"Law, Public Safety, Corrections & Security",Law Enforcement Services,Police Identification and Records Officers,1.55,5.81,3.05,3.87,4.43,2.04,0.10626506,0.143113253,0.135493976,0.02526747,-0.106231325,0,13.24,8.33,3.13,27.55,26.04,0,21.72,0,0,0,0
"Law, Public Safety, Corrections & Security",Law Enforcement Services,Police and Sheriff's Patrol Officers,1.07,4.35,4.09,2.75,5.37,3.43,0.107051282,0.142597341,0.16634378,0.030522317,-0.114639126,0,40.4,21.31,14.65,17.09,6.56,0,0,0,0,0,0
Education & Training,Teaching/Training,"Political Science Teachers, Postsecondary",3.61,3.16,3.21,5.46,2.11,6.75,0.191530864,0.116555556,0.177230453,0.056526749,-0.099617284,0,0,0,0,0,0,0,3.46,0,0,96.54,0
"Science, Technology, Engineering & Mathematics",Science and Mathematics,Political Scientists,3.78,3.6,3.7,6.62,1,3.47,0.195953992,0.119165539,0.159454217,0.034041498,-0.097690573,0,0,0,0,0,0,0,7.69,0,0,88.46,3.85
Business Management & Administration,Administrative Support,Postal Service Clerks,1,6.51,2.69,1,3.25,2.54,0.060541495,0.165803414,0.157804591,0.033084167,-0.110176574,7.76,67.56,6.8,17.88,0,0,0,0,0,0,0,0
